status,trackerId,server_region,timestamp,server,date_time,state
success,89328463497,California;USA,1602042464000,46fd:b891:e726:4f51:ff1f:8489:a823:84dc,2020-10-07T03:47:44.000Z,California
success,89328463501,New York;USA,1590938268000,f75c:724a:378:3787:b8a2:e9b7:55f4:4b0b,2020-05-31T15:17:48.000Z,New York
success,89328463519,Texas;USA,1600167885000,63cd:490d:f782:8e81:6ac3:4ade:7818:bd15,2020-09-15T11:04:45.000Z,Texas
success,89328463527,California;USA,1598431184000,ee61:7de0:83b5:472a:ace8:296:3899:b93c,2020-08-26T08:39:44.000Z,California
failed,89328463532,Texas;USA,1594467108000,9005:f086:b98a:dfb1:fd4b:c187:a367:3ce6,2020-07-11T11:31:48.000Z,Texas
failed,89328463566,Florida;USA,1590339183000,d15a:59c8:ec68:61bf:19ec:5d75:2bc1:361f,2020-05-24T16:53:03.000Z,Florida
success,89328463696,New York;USA,1598245933000,fc56:d331:6ef7:3fe8:49ef:36cb:bab4:c727,2020-08-24T05:12:13.000Z,New York
failed,89328463709,New York;USA,1601079796000,8f6:384:2c7f:39a2:ef46:a155:f255:86cf,2020-09-26T00:23:16.000Z,New York
success,89328463721,California;USA,1607677927000,5bbe:2479:d8f5:926b:f7d6:e2c3:d36a:dee,2020-12-11T09:12:07.000Z,California
success,89328463728,Texas;USA,1592336096000,48fc:44cb:50fb:dbb3:15c5:55a7:28a3:1d6d,2020-06-16T19:34:56.000Z,Texas
success,89328463751,New York;USA,1605944085000,1d91:dbae:9db:1d84:39ea:154f:a5c4:2ac9,2020-11-21T07:34:45.000Z,New York
-,89328463783,Texas;USA,1597724618000,7713:abe4:8f7a:ed50:ccb:fa76:3d32:5c2f,2020-08-18T04:23:38.000Z,Texas
success,89328463810,Texas;USA,1592074072000,59bd:2cdc:f558:d8e4:dd58:715a:54c9:6d9f,2020-06-13T18:47:52.000Z,Texas
-,89328463823,Texas;USA,1588735481000,f489:dd57:cbc:1ce9:b863:311b:1a8b:bf2a,2020-05-06T03:24:41.000Z,Texas
failed,89328463834,California;USA,1598582212000,7222:589b:40f9:deb7:e43e:7890:af80:b2f2,2020-08-28T02:36:52.000Z,California
-,89328463839,New York;USA,1604543401000,875e:e184:2156:db4a:3a8:12ad:7f2b:543d,2020-11-05T02:30:01.000Z,New York
success,89328463847,New York;USA,1597759516000,d684:e146:fc69:4b7b:2c35:a38a:849e:3820,2020-08-18T14:05:16.000Z,New York
success,89328463853,Florida;USA,1600221124000,2353:e79e:6ff:84ff:52b6:5b33:29e7:e6c8,2020-09-16T01:52:04.000Z,Florida
success,89328463872,Florida;USA,1601272181000,5e5d:eef6:bd5a:6426:909a:3d30:1fd4:418e,2020-09-28T05:49:41.000Z,Florida
-,89328463981,Florida;USA,1585703319000,d25:7c2c:4f7c:8288:1dff:c66b:8d79:ebfa,2020-04-01T01:08:39.000Z,Florida
success,89328463988,Texas;USA,1607600775000,f34:3f27:d1de:a085:c56a:2e43:30e5:b56a,2020-12-10T11:46:15.000Z,Texas
success,89328464021,California;USA,1593604517000,99d:94cf:e9d:a147:fa09:b885:f53b:fc4d,2020-07-01T11:55:17.000Z,California
success,89328464044,California;USA,1589779537000,f7f:cd59:c6a6:d747:c64d:f7aa:bd23:e76b,2020-05-18T05:25:37.000Z,California
success,89328464078,Texas;USA,1593991583000,5fa8:f5d3:dd41:9832:83cd:1146:d6d9:6ade,2020-07-05T23:26:23.000Z,Texas
failed,89328464127,California;USA,1585897225000,6d5b:7297:303d:f926:3993:4980:6643:dcc8,2020-04-03T07:00:25.000Z,California
success,89328464146,Florida;USA,1589537887000,286e:6de7:b000:a840:6ddf:8736:fdc:16d2,2020-05-15T10:18:07.000Z,Florida
success,89328464182,New York;USA,1605307882000,a495:cfe7:1983:4106:b216:14b4:54c9:23c5,2020-11-13T22:51:22.000Z,New York
success,89328464201,Florida;USA,1596890309000,ca93:b519:ff5:da8b:d67e:ab0f:6e42:76d5,2020-08-08T12:38:29.000Z,Florida
success,89328464205,Texas;USA,1590885781000,9309:7c5f:92ea:bc:389c:94d1:5ab:5d55,2020-05-31T00:43:01.000Z,Texas
success,89328464230,Florida;USA,1586106791000,2c7b:a207:d144:531c:3114:1d67:a070:f579,2020-04-05T17:13:11.000Z,Florida
success,89328464243,New York;USA,1594913890000,ac7b:4230:7c57:ee54:eba1:ee1c:5711:4581,2020-07-16T15:38:10.000Z,New York
-,89328464257,California;USA,1599770098000,bbbc:72e5:25c9:1682:fdb9:ddf3:2af2:b534,2020-09-10T20:34:58.000Z,California
-,89328464270,New York;USA,1602660136000,36d8:53f8:d522:bbfd:59b3:db7e:e93d:f467,2020-10-14T07:22:16.000Z,New York
success,89328464279,New York;USA,1603367931000,f7d8:25a2:899d:58fa:bc52:2242:9634:14a0,2020-10-22T11:58:51.000Z,New York
-,89328464286,Texas;USA,1607823913000,2895:f237:e7cf:2a6:87a2:54d4:e18a:2f2a,2020-12-13T01:45:13.000Z,Texas
success,89328464290,California;USA,1598560776000,5b1b:b7f0:4951:ebbc:3cd:ad0d:7b79:e4a0,2020-08-27T20:39:36.000Z,California
-,89328464299,Florida;USA,1592669876000,426f:c4ab:f222:4b34:9de6:f2b4:2ffd:a99c,2020-06-20T16:17:56.000Z,Florida
success,89328464307,New York;USA,1587437462000,848f:5796:e7f2:a85d:e24f:9842:5f3f:936e,2020-04-21T02:51:02.000Z,New York
success,89328464312,Texas;USA,1605167273000,7200:c829:c99e:2c64:6ba6:366c:c3b1:b42,2020-11-12T07:47:53.000Z,Texas
success,89328464324,Florida;USA,1590839533000,6926:c640:b03e:4711:dddd:872b:4848:51f3,2020-05-30T11:52:13.000Z,Florida
success,89328464374,New York;USA,1591127068000,2cb2:1e1a:b11b:4fb0:6c15:6a9d:cd6d:e1a3,2020-06-02T19:44:28.000Z,New York
success,89328464378,Texas;USA,1590592002000,52f5:afa0:8ebd:b0d2:3a03:2c48:a299:b7bb,2020-05-27T15:06:42.000Z,Texas
-,89328464393,Texas;USA,1591935114000,ad68:f258:181f:19bd:392b:3474:d17e:5c21,2020-06-12T04:11:54.000Z,Texas
success,89328464446,New York;USA,1589291236000,ea81:66a5:aeeb:ef51:fef7:8c14:a81b:9fb8,2020-05-12T13:47:16.000Z,New York
-,89328464467,Texas;USA,1596457321000,9416:11fa:1599:e4b4:1976:dc30:c4a5:19c6,2020-08-03T12:22:01.000Z,Texas
success,89328464481,California;USA,1599356744000,3f3a:a7fe:409d:c8fc:f5f7:17de:7f62:a032,2020-09-06T01:45:44.000Z,California
success,89328464485,Texas;USA,1588130663000,3336:1461:f197:bad9:705f:7dd:8c59:a5e4,2020-04-29T03:24:23.000Z,Texas
