status,trackerId,server_region,timestamp,server,date_time,state
failed,89328463547,Ontario;Canada,1601788727000,3a40:a149:33b7:9101:1dbf:b685:94d6:454c,2020-10-04T05:18:47.000Z,Ontario
success,89328463602,Ontario;Canada,1599464646000,9e8a:6280:6436:a282:5bdf:7d2f:6dbc:25be,2020-09-07T07:44:06.000Z,Ontario
success,89328463619,Ontario;Canada,1598976393000,65aa:83d1:8f02:91b9:2a32:5f1c:7dc2:6828,2020-09-01T16:06:33.000Z,Ontario
success,89328463682,Ontario;Canada,1600547087000,4ff9:c92e:8922:35cc:c958:28eb:c9eb:38e3,2020-09-19T20:24:47.000Z,Ontario
success,89328463734,Ontario;Canada,1600535626000,808a:b22a:6384:f3b2:bdb7:75b2:a9d1:e61b,2020-09-19T17:13:46.000Z,Ontario
success,89328463786,Ontario;Canada,1591595921000,6646:8102:df0c:7c3a:78d3:e401:529:80b5,2020-06-08T05:58:41.000Z,Ontario
-,89328463805,Ontario;Canada,1603260984000,700b:cb02:db46:d889:c4f3:28cf:58a7:c71f,2020-10-21T06:16:24.000Z,Ontario
success,89328463865,Ontario;Canada,1601035931000,bfce:9606:ac0a:b3e4:29bf:a6cc:efbe:4204,2020-09-25T12:12:11.000Z,Ontario
-,89328463878,Ontario;Canada,1600345834000,d268:d9d3:d42b:c504:7f88:c060:50a9:9d31,2020-09-17T12:30:34.000Z,Ontario
success,89328463945,Ontario;Canada,1586995186000,280b:f9cc:7143:6576:e5be:b6e:e186:b18d,2020-04-15T23:59:46.000Z,Ontario
success,89328464036,Ontario;Canada,1595791360000,97c2:3b3c:c8dd:8431:29a9:ec1c:4d00:2d96,2020-07-26T19:22:40.000Z,Ontario
success,89328464101,Ontario;Canada,1587015743000,fef1:8f16:97c7:a1f1:1706:81c6:5956:6fc0,2020-04-16T05:42:23.000Z,Ontario
success,89328464323,Ontario;Canada,1593682705000,6562:946:8d04:aa72:3abe:8af6:b104:d520,2020-07-02T09:38:25.000Z,Ontario
failed,89328464349,Ontario;Canada,1593817253000,12c:6ec9:8119:fc84:d82e:1e25:dff6:267d,2020-07-03T23:00:53.000Z,Ontario
success,89328464372,Ontario;Canada,1591097477000,cfdd:9c42:8376:5125:6560:402b:56f4:ce1a,2020-06-02T11:31:17.000Z,Ontario
success,89328464458,Ontario;Canada,1598779954000,e9ff:9eb2:da98:d3b1:8e2f:93b7:e3d0:1dba,2020-08-30T09:32:34.000Z,Ontario
