status,trackerId,server_region,timestamp,server,date_time,state
success,89328463517,Tokyo;Japan,1600686117000,f8a0:bf7d:f195:8452:d2ac:162d:d49d:b3ea,2020-09-21T11:01:57.000Z,Tokyo
failed,89328463538,Tokyo;Japan,1587539963000,52d:4f74:ab5f:8a92:14a3:7bec:c56f:786d,2020-04-22T07:19:23.000Z,Tokyo
success,89328463683,Tokyo;Japan,1593592592000,7907:cf49:3ff2:57b7:1da8:7917:8a67:86ed,2020-07-01T08:36:32.000Z,Tokyo
success,89328463736,Tokyo;Japan,1592156686000,e33d:d450:5c7a:a8ac:2771:75b0:8b18:76e,2020-06-14T17:44:46.000Z,Tokyo
success,89328463829,Tokyo;Japan,1591697101000,9ae6:558d:f3a6:694f:e94c:3c07:be65:c551,2020-06-09T10:05:01.000Z,Tokyo
success,89328463832,Tokyo;Japan,1592928941000,2593:1e9f:445e:3e8b:66ed:ea7d:e752:d04,2020-06-23T16:15:41.000Z,Tokyo
-,89328463893,Tokyo;Japan,1599902360000,45ae:8338:6476:c2b9:915e:c134:1fb0:2171,2020-09-12T09:19:20.000Z,Tokyo
success,89328463930,Tokyo;Japan,1607851661000,232f:c606:3b4c:b79b:b4fb:7b74:5db5:9dca,2020-12-13T09:27:41.000Z,Tokyo
success,89328464087,Tokyo;Japan,1588055910000,df:b529:1e4f:997a:7893:59ab:d78:2cfd,2020-04-28T06:38:30.000Z,Tokyo
success,89328464100,Tokyo;Japan,1606985564000,643a:1a62:c907:30f0:c0ff:86b6:30aa:f388,2020-12-03T08:52:44.000Z,Tokyo
success,89328464122,Tokyo;Japan,1588333922000,fb74:a22a:2725:7705:f18:6a03:783e:3791,2020-05-01T11:52:02.000Z,Tokyo
success,89328464137,Tokyo;Japan,1604501159000,5b3d:126:6f79:218:2e6f:a0ba:d1c3:de9,2020-11-04T14:45:59.000Z,Tokyo
success,89328464181,Tokyo;Japan,1599776654000,126d:63ba:c98:e7b4:f808:f3ae:c5c1:c0d6,2020-09-10T22:24:14.000Z,Tokyo
-,89328464207,Tokyo;Japan,1600605912000,7697:1b6d:63ce:b95c:ce71:f5ad:1ed2:2711,2020-09-20T12:45:12.000Z,Tokyo
failed,89328464223,Tokyo;Japan,1586406101000,4cda:9d40:1a0f:6b1f:769:6d1c:ed21:4fb3,2020-04-09T04:21:41.000Z,Tokyo
success,89328464315,Tokyo;Japan,1602332364000,8c2a:1f1:315e:267:39e0:b32a:f393:5d7b,2020-10-10T12:19:24.000Z,Tokyo
-,89328464316,Tokyo;Japan,1590488585000,5ef8:f325:7ea6:cdb6:73d1:5d3d:ffca:3b6c,2020-05-26T10:23:05.000Z,Tokyo
success,89328464398,Tokyo;Japan,1596731244000,2a55:c654:c23d:e120:16d5:2363:c40e:946a,2020-08-06T16:27:24.000Z,Tokyo
