status,trackerId,server_region,timestamp,server,date_time,state
success,89328463544,Queensland;Australia,1590660571000,5008:92b8:5fad:eeaf:ac82:4d30:5106:b32e,2020-05-28T10:09:31.000Z,Queensland
success,89328463639,Queensland;Australia,1602409518000,5262:ff87:6a6:9f7d:46c:6092:ad11:d441,2020-10-11T09:45:18.000Z,Queensland
failed,89328463727,Queensland;Australia,1587365179000,ef19:ade6:297c:4527:1b75:b9ae:4bd3:48b0,2020-04-20T06:46:19.000Z,Queensland
success,89328463771,Queensland;Australia,1593092446000,9b87:99b:d15a:9ffb:7e57:fa7b:ec0b:e1c1,2020-06-25T13:40:46.000Z,Queensland
-,89328463798,Queensland;Australia,1596290560000,769f:4260:abba:22e0:5249:f3e7:194f:a2f5,2020-08-01T14:02:40.000Z,Queensland
success,89328463845,Queensland;Australia,1607831823000,b395:15eb:d86f:db6:d43:a09:79f:8cbf,2020-12-13T03:57:03.000Z,Queensland
success,89328463920,Queensland;Australia,1597438824000,1417:74f3:a0ef:1f9c:83c4:7022:914e:2ccb,2020-08-14T21:00:24.000Z,Queensland
success,89328463936,Queensland;Australia,1607053186000,3ba6:9cca:a6c8:d441:4106:f215:dde:66e3,2020-12-04T03:39:46.000Z,Queensland
-,89328463951,Queensland;Australia,1599942063000,ed6a:f0d7:753d:85b4:6c12:6d4f:1140:f1cd,2020-09-12T20:21:03.000Z,Queensland
success,89328464047,Queensland;Australia,1589024084000,6755:38e5:bdcc:304d:cf57:1ff8:2eac:683e,2020-05-09T11:34:44.000Z,Queensland
success,89328464069,Queensland;Australia,1586054466000,eeed:fdd6:3b0e:712f:7fbd:9e82:2029:233c,2020-04-05T02:41:06.000Z,Queensland
success,89328464106,Queensland;Australia,1600533938000,9e01:d7a:12fb:1033:a9b1:14d6:9510:cb7f,2020-09-19T16:45:38.000Z,Queensland
success,89328464154,Queensland;Australia,1601757146000,d758:1ae6:6337:c953:6060:951:fbdb:f6db,2020-10-03T20:32:26.000Z,Queensland
-,89328464164,Queensland;Australia,1602048483000,cf3c:68d3:6fdb:868c:7625:8d5c:1abc:2177,2020-10-07T05:28:03.000Z,Queensland
success,89328464185,Queensland;Australia,1589167738000,d243:6b07:e417:67fd:ef03:9569:dedf:b055,2020-05-11T03:28:58.000Z,Queensland
-,89328464213,Queensland;Australia,1605745649000,f5ad:bf6:70ad:96c:b8b8:9873:91c9:b92a,2020-11-19T00:27:29.000Z,Queensland
-,89328464256,Queensland;Australia,1592783436000,39eb:3744:e37c:6cfe:ea16:fb2b:f0a5:34d,2020-06-21T23:50:36.000Z,Queensland
