status,trackerId,server_region,timestamp,server,date_time,state
success,89328463548,Ontario;Canada,1592907531000,d62:d41f:8d8f:7a8:ac74:d9c5:9e4c:cdd8,2020-06-23T10:18:51.000Z,Ontario
success,89328463608,Ontario;Canada,1593912705000,c60a:e241:9999:bd77:a53b:2a97:2ab7:d4de,2020-07-05T01:31:45.000Z,Ontario
failed,89328463716,Ontario;Canada,1588258007000,39e4:bb81:a795:5e94:59e5:3715:8cc6:7d6d,2020-04-30T14:46:47.000Z,Ontario
-,89328463718,Ontario;Canada,1592828895000,6711:7e47:9bfa:373a:2790:16ce:edb7:2604,2020-06-22T12:28:15.000Z,Ontario
success,89328463769,Ontario;Canada,1588987076000,7d9c:29b3:da0b:d7f8:1d77:fe15:a2d9:6a8f,2020-05-09T01:17:56.000Z,Ontario
success,89328463773,Ontario;Canada,1599602534000,6e41:61fc:619d:ca09:9fc3:3b5a:9b6c:714f,2020-09-08T22:02:14.000Z,Ontario
success,89328463934,Ontario;Canada,1596431243000,5cf9:fcd3:e8dc:ab79:3418:9739:750f:52d1,2020-08-03T05:07:23.000Z,Ontario
success,89328463937,Ontario;Canada,1596871832000,57d4:9623:7c06:c76f:2cfe:1d52:f220:6983,2020-08-08T07:30:32.000Z,Ontario
success,89328463961,Ontario;Canada,1599644039000,4cc9:5c79:d518:d029:c220:c1ca:bba4:8fb9,2020-09-09T09:33:59.000Z,Ontario
success,89328464019,Ontario;Canada,1589951160000,3788:4f5b:f329:e305:eb5e:3eb1:baf1:80bb,2020-05-20T05:06:00.000Z,Ontario
success,89328464048,Ontario;Canada,1595506568000,7724:503a:fe9f:7a9c:3fe6:aba2:715d:6a25,2020-07-23T12:16:08.000Z,Ontario
success,89328464111,Ontario;Canada,1586362966000,724:546a:650a:b407:d703:7dc5:43a5:9600,2020-04-08T16:22:46.000Z,Ontario
success,89328464267,Ontario;Canada,1595803361000,6308:c4a4:cc79:1cf8:8c0d:b986:9155:19b6,2020-07-26T22:42:41.000Z,Ontario
failed,89328464309,Ontario;Canada,1603507814000,8b57:2549:bf71:9577:5a17:17be:9fca:24f2,2020-10-24T02:50:14.000Z,Ontario
success,89328464338,Ontario;Canada,1597138852000,ff3d:50d7:7839:28a9:9c04:9de2:2a1d:43bb,2020-08-11T09:40:52.000Z,Ontario
-,89328464416,Ontario;Canada,1591095494000,31d3:86e:1cfe:5c25:4e8a:7d0a:3f3:8074,2020-06-02T10:58:14.000Z,Ontario
success,89328464461,Ontario;Canada,1591276630000,7038:b789:6f80:2d6f:a666:3eff:4531:7019,2020-06-04T13:17:10.000Z,Ontario
success,89328464462,Ontario;Canada,1586857316000,22e4:c646:ec8c:1579:6984:334c:a397:8ea1,2020-04-14T09:41:56.000Z,Ontario
-,89328464480,Ontario;Canada,1587385137000,9881:ebd9:fcc2:75b:d26e:d0ea:dbfc:131b,2020-04-20T12:18:57.000Z,Ontario
