status,trackerId,server_region,timestamp,server,date_time,state
success,89328463494,Paris;France,1605052256000,805a:a9ff:45ca:7672:6737:68cc:6f2d:4bd2,2020-11-10T23:50:56.000Z,Paris
success,89328463552,Paris;France,1587682435000,7212:222b:45e1:3bf6:675d:f3bc:7a47:52c3,2020-04-23T22:53:55.000Z,Paris
failed,89328463587,Paris;France,1596234942000,7582:eef6:45c:ead3:b68d:7844:adb2:18a2,2020-07-31T22:35:42.000Z,Paris
success,89328463645,Paris;France,1607178752000,dcdb:b6a5:33f8:66e6:f68c:8221:671d:4f03,2020-12-05T14:32:32.000Z,Paris
success,89328463668,Paris;France,1599932869000,ba84:61eb:614a:43ee:e:f356:c17b:8fb1,2020-09-12T17:47:49.000Z,Paris
success,89328463745,Paris;France,1606631866000,8208:a22f:cb1e:8e31:9459:7fa6:1ec5:721a,2020-11-29T06:37:46.000Z,Paris
success,89328463799,Paris;France,1593342469000,758e:aee4:e1fe:da55:bc48:247f:f56c:b10e,2020-06-28T11:07:49.000Z,Paris
failed,89328463848,Paris;France,1592159023000,649b:1db5:69cd:2ab5:5a9a:89f0:7bbb:5bf3,2020-06-14T18:23:43.000Z,Paris
success,89328464059,Paris;France,1608159945000,9649:2734:8cea:80b9:31aa:9b08:fab5:a890,2020-12-16T23:05:45.000Z,Paris
success,89328464109,Paris;France,1604413089000,405c:595c:eb4:f15d:db67:1755:ff66:fd05,2020-11-03T14:18:09.000Z,Paris
success,89328464169,Paris;France,1595094750000,69c8:fd3b:ca9f:86c4:76bd:dbcf:e1d5:10e6,2020-07-18T17:52:30.000Z,Paris
success,89328464263,Paris;France,1602993941000,9e69:7fb8:f2b7:dc8f:3673:1e71:fd1a:a4e1,2020-10-18T04:05:41.000Z,Paris
failed,89328464291,Paris;France,1597760677000,855b:6508:3190:3570:db65:316e:1b00:d682,2020-08-18T14:24:37.000Z,Paris
success,89328464417,Paris;France,1586815769000,3540:c2d4:b25d:603:d16f:665b:a44e:488a,2020-04-13T22:09:29.000Z,Paris
