status,trackerId,server_region,timestamp,server,date_time,state
success,89328463487,Florida;USA,1599093305000,464f:bdbd:1d:535a:2dad:5117:a92f:b359,2020-09-03T00:35:05.000Z,Florida
-,89328463504,Texas;USA,1589042567000,99db:f6af:4b20:e70d:3f70:a3a7:1750:dd48,2020-05-09T16:42:47.000Z,Texas
success,89328463513,Texas;USA,1586969841000,f73:9467:b9bc:27b0:ed5:2109:e89a:9be8,2020-04-15T16:57:21.000Z,Texas
success,89328463554,New York;USA,1607135947000,e5a1:6234:52cb:e230:b67:9d21:2116:7438,2020-12-05T02:39:07.000Z,New York
failed,89328463564,Florida;USA,1592594909000,b1b6:c737:dc45:16e4:2a0d:d6ac:5aa:ea4b,2020-06-19T19:28:29.000Z,Florida
-,89328463606,Texas;USA,1585893740000,ab93:8433:8959:bf13:e03b:2fbd:ac78:ca7b,2020-04-03T06:02:20.000Z,Texas
success,89328463609,New York;USA,1597093753000,e213:8755:6e97:a12a:76b1:598e:59ce:b80c,2020-08-10T21:09:13.000Z,New York
success,89328463623,New York;USA,1601480983000,9e45:994b:7a7d:ef2e:684f:3b06:c8d6:76cc,2020-09-30T15:49:43.000Z,New York
success,89328463652,Florida;USA,1606359952000,572e:4225:285b:f134:e54d:9fc:d503:ccae,2020-11-26T03:05:52.000Z,Florida
-,89328463665,Florida;USA,1601174989000,c409:d1a8:5209:7489:66eb:8918:17ff:f436,2020-09-27T02:49:49.000Z,Florida
success,89328463673,Florida;USA,1600444274000,78c4:f53b:38ce:a89b:8a72:e70b:49a2:7b19,2020-09-18T15:51:14.000Z,Florida
success,89328463684,California;USA,1593546575000,268:68f:1a55:9671:97f9:14da:5218:d412,2020-06-30T19:49:35.000Z,California
success,89328463726,California;USA,1587309587000,cad7:242a:45a:fbed:89ce:d42f:c65f:a98f,2020-04-19T15:19:47.000Z,California
success,89328463732,New York;USA,1588460866000,31f6:8b4a:b845:d0fb:58f0:ca09:f6bc:dda7,2020-05-02T23:07:46.000Z,New York
success,89328463752,California;USA,1588765507000,ad8f:32d2:a647:f251:1aeb:80a0:b9f:df52,2020-05-06T11:45:07.000Z,California
success,89328463760,Texas;USA,1602238610000,cc03:ca75:d8cd:bf7d:3173:3762:cd58:af31,2020-10-09T10:16:50.000Z,Texas
