status,trackerId,server_region,timestamp,server,date_time,state
success,89328463502,Florida;USA,1596110287000,3b16:b2c0:32e0:c7fa:e4e4:4035:4954:1925,2020-07-30T11:58:07.000Z,Florida
-,89328463503,Texas;USA,1602189313000,56c0:efbf:2ecc:67b6:61c:2fa6:7b12:2e12,2020-10-08T20:35:13.000Z,Texas
success,89328463545,Texas;USA,1592854569000,d4df:27ce:d11:314c:14fc:83be:8b53:95e1,2020-06-22T19:36:09.000Z,Texas
success,89328463562,Texas;USA,1587767305000,1c48:d689:b5bf:b490:cac2:f448:a2f5:800f,2020-04-24T22:28:25.000Z,Texas
success,89328463607,New York;USA,1601052200000,a982:21c7:32:e8e6:e40e:24d9:fc3f:ed1c,2020-09-25T16:43:20.000Z,New York
success,89328463615,California;USA,1589205561000,efa7:3f72:6b75:6a52:7ab5:5868:dc6:3d13,2020-05-11T13:59:21.000Z,California
-,89328463635,Florida;USA,1589690623000,18cc:3611:8dca:a21a:4c86:ab42:5215:a6b9,2020-05-17T04:43:43.000Z,Florida
success,89328463680,Texas;USA,1591247457000,cfc5:75d:7ab8:da4b:2787:153e:ebed:2626,2020-06-04T05:10:57.000Z,Texas
success,89328463710,Florida;USA,1593369243000,e73c:b3f:b7c3:5b94:ea97:2373:7e99:8bdc,2020-06-28T18:34:03.000Z,Florida
success,89328463755,Florida;USA,1606096942000,939d:fda0:fc0:7e8:8727:bd46:b13b:f25c,2020-11-23T02:02:22.000Z,Florida
success,89328463758,California;USA,1597918348000,75b7:2e0d:49ce:56ab:bc17:b5f9:2237:2be3,2020-08-20T10:12:28.000Z,California
success,89328463762,Texas;USA,1604578668000,3bd1:3a29:be50:3107:ee7:d922:6b59:f86d,2020-11-05T12:17:48.000Z,Texas
failed,89328463781,Texas;USA,1602644050000,6ece:9ba1:31bd:6a83:3067:5aaa:3109:ba2e,2020-10-14T02:54:10.000Z,Texas
success,89328463836,California;USA,1601362134000,194:f41b:1a0c:d256:4f64:9fd4:bafb:71e8,2020-09-29T06:48:54.000Z,California
success,89328463886,Florida;USA,1607956392000,f34a:723f:dc8:f082:143a:8c04:549c:673d,2020-12-14T14:33:12.000Z,Florida
success,89328463899,Florida;USA,1606524345000,46c4:3b21:2d27:59e4:44e2:b262:6a3a:1d9a,2020-11-28T00:45:45.000Z,Florida
success,89328463939,New York;USA,1599552235000,9ba0:b0cc:244c:191a:a5d2:5c39:670b:f44b,2020-09-08T08:03:55.000Z,New York
success,89328463943,New York;USA,1593936932000,224:22b9:18b2:4006:ac6:2e7d:170:6f6,2020-07-05T08:15:32.000Z,New York
success,89328463997,New York;USA,1603512164000,5e6d:fc5a:e276:ac2c:1ba:f243:49fa:fbe6,2020-10-24T04:02:44.000Z,New York
success,89328464014,California;USA,1594031214000,9163:82c8:791:b503:2911:7586:2813:7eef,2020-07-06T10:26:54.000Z,California
success,89328464066,California;USA,1607664707000,8d4c:2f50:787d:ec1c:7ef2:5339:8680:a3a3,2020-12-11T05:31:47.000Z,California
success,89328464114,California;USA,1586651226000,a14e:f961:506f:194d:5b69:1241:f893:f723,2020-04-12T00:27:06.000Z,California
success,89328464118,California;USA,1604724406000,8080:1aa2:8e5e:9b2b:7480:299b:7d59:d5a7,2020-11-07T04:46:46.000Z,California
success,89328464135,New York;USA,1588611689000,e550:5cd6:ef5d:c00b:d3d8:7f6c:f1a1:1341,2020-05-04T17:01:29.000Z,New York
success,89328464136,California;USA,1604081122000,fac8:586e:a423:e42e:e612:4615:e56e:a92c,2020-10-30T18:05:22.000Z,California
failed,89328464180,New York;USA,1599822073000,bad6:569f:c3a8:29ef:2057:d390:41dd:a3f8,2020-09-11T11:01:13.000Z,New York
success,89328464186,California;USA,1585869110000,fd1b:e6ac:f64c:3887:d857:76c9:8c3e:86f8,2020-04-02T23:11:50.000Z,California
failed,89328464195,New York;USA,1600230120000,735c:3f48:709b:c08a:5a41:1c00:1af5:74fe,2020-09-16T04:22:00.000Z,New York
success,89328464197,California;USA,1600205772000,3882:2292:f51c:2a6b:991f:d289:30d1:fa1,2020-09-15T21:36:12.000Z,California
success,89328464202,New York;USA,1587239042000,4926:822:2c98:2e3e:b5c9:5ca4:8825:b198,2020-04-18T19:44:02.000Z,New York
success,89328464233,New York;USA,1593633736000,c3b1:42e1:5004:8749:3364:bc3e:f6ff:43af,2020-07-01T20:02:16.000Z,New York
success,89328464255,Florida;USA,1590770745000,7f95:8ed4:cc22:da71:8ccc:3cf1:8ff8:c8b4,2020-05-29T16:45:45.000Z,Florida
-,89328464272,New York;USA,1606176022000,9507:f87:ae92:f91a:3e4e:3fd0:361e:584a,2020-11-24T00:00:22.000Z,New York
success,89328464278,Florida;USA,1590748493000,2a97:a14b:d1e2:e7a9:3155:a84c:fe6d:7ce5,2020-05-29T10:34:53.000Z,Florida
