status,trackerId,server_region,timestamp,server,date_time,state
-,89328463569,Paris;France,1595579706000,3d94:7432:4d0c:6fa:bc85:c2b7:6213:1c1a,2020-07-24T08:35:06.000Z,Paris
success,89328463578,Paris;France,1593391035000,73de:c6ce:85a8:765a:545e:3211:ab58:b4e2,2020-06-29T00:37:15.000Z,Paris
success,89328463659,Paris;France,1588249523000,9384:eaee:4434:5902:5513:f879:a294:b888,2020-04-30T12:25:23.000Z,Paris
success,89328463661,Paris;France,1603920065000,9024:e471:17ec:e092:208a:a083:6387:9c2c,2020-10-28T21:21:05.000Z,Paris
success,89328463705,Paris;France,1590879986000,3cda:87da:566f:50ab:1e8a:b70f:d1b2:6e8c,2020-05-30T23:06:26.000Z,Paris
success,89328463809,Paris;France,1605488420000,cd0e:d933:bf22:7ccb:dfa0:c6f1:bf58:f4a0,2020-11-16T01:00:20.000Z,Paris
-,89328463855,Paris;France,1592983325000,8f23:b114:d734:3a27:6d32:2f02:ca22:dcb3,2020-06-24T07:22:05.000Z,Paris
success,89328463922,Paris;France,1594043331000,b49b:144e:a0cb:1174:6778:42ab:bd05:e700,2020-07-06T13:48:51.000Z,Paris
success,89328464084,Paris;France,1600715868000,b77d:283:6e7b:1a9b:16f1:9aa2:b981:a9fa,2020-09-21T19:17:48.000Z,Paris
success,89328464097,Paris;France,1600288496000,d68e:daa6:344a:34b7:7665:a6b7:986f:5275,2020-09-16T20:34:56.000Z,Paris
success,89328464115,Paris;France,1598976908000,6929:e8f8:d66a:ec24:f76b:954:6879:d6b,2020-09-01T16:15:08.000Z,Paris
success,89328464174,Paris;France,1605012393000,5c68:a964:41e:ee78:7321:1f4f:daa5:1b5b,2020-11-10T12:46:33.000Z,Paris
-,89328464196,Paris;France,1606651604000,56ea:2b6e:bd49:f42f:1fd5:f8ed:3183:c568,2020-11-29T12:06:44.000Z,Paris
success,89328464212,Paris;France,1604262595000,2702:b439:6f56:5285:eea6:1b3:260c:9cb6,2020-11-01T20:29:55.000Z,Paris
success,89328464247,Paris;France,1591423179000,71d8:3a16:7f21:c4ce:1d5c:3822:f32d:d6f0,2020-06-06T05:59:39.000Z,Paris
success,89328464264,Paris;France,1589311205000,26b5:4d07:b24b:6678:844b:10d7:9c62:7240,2020-05-12T19:20:05.000Z,Paris
success,89328464289,Paris;France,1599121271000,29d2:e22f:70b4:707d:d7c0:fdc9:6d29:3549,2020-09-03T08:21:11.000Z,Paris
success,89328464297,Paris;France,1607235962000,6fe6:8c3b:8597:9bd9:83dd:42c0:8e6d:a91c,2020-12-06T06:26:02.000Z,Paris
success,89328464304,Paris;France,1592824945000,823a:7801:3dd6:98c3:5905:3325:ece:3cec,2020-06-22T11:22:25.000Z,Paris
failed,89328464336,Paris;France,1604635637000,6b7d:a5d6:ddf8:10f7:1ad8:ff6:673e:5c7,2020-11-06T04:07:17.000Z,Paris
success,89328464364,Paris;France,1605286681000,4536:469f:5060:194b:d0d2:2c29:7d76:cae,2020-11-13T16:58:01.000Z,Paris
failed,89328464401,Paris;France,1602958433000,692d:8b9:1fd9:aae0:6c0e:fca9:a208:f8e7,2020-10-17T18:13:53.000Z,Paris
success,89328464465,Paris;France,1597510711000,5525:7c09:21e6:4947:a5f1:359f:cf2c:922a,2020-08-15T16:58:31.000Z,Paris
