status,trackerId,server_region,timestamp,server,date_time,state
success,89328463641,Ontario;Canada,1594792709000,20a:e888:de3a:8d71:fdab:dede:dd6:855a,2020-07-15T05:58:29.000Z,Ontario
success,89328463654,Ontario;Canada,1589456115000,273f:d07:78be:70b2:abf5:6974:7df5:314e,2020-05-14T11:35:15.000Z,Ontario
success,89328463692,Ontario;Canada,1602392221000,3433:cd30:f42a:6677:88f3:7da2:bad9:4110,2020-10-11T04:57:01.000Z,Ontario
success,89328463730,Ontario;Canada,1588841077000,ad3:b519:21db:da56:4b3d:e616:5842:ea61,2020-05-07T08:44:37.000Z,Ontario
success,89328463814,Ontario;Canada,1592743401000,5089:b56b:3f84:5588:7cf:e843:b381:cb7c,2020-06-21T12:43:21.000Z,Ontario
-,89328463843,Ontario;Canada,1590478850000,64c9:9e74:f26:4050:78cc:406c:9338:f21e,2020-05-26T07:40:50.000Z,Ontario
failed,89328463864,Ontario;Canada,1591456457000,a270:485e:eaa4:7ac3:aa87:b27d:1cd8:4111,2020-06-06T15:14:17.000Z,Ontario
success,89328464011,Ontario;Canada,1601910645000,77ea:1be:e40c:af91:7cc3:9902:77c9:3210,2020-10-05T15:10:45.000Z,Ontario
-,89328464209,Ontario;Canada,1586665552000,514a:2fbc:3fdd:dade:1024:2339:5ace:8c2f,2020-04-12T04:25:52.000Z,Ontario
failed,89328464260,Ontario;Canada,1591262124000,8231:1427:d9a:4ef2:f902:9862:fe75:ddab,2020-06-04T09:15:24.000Z,Ontario
success,89328464325,Ontario;Canada,1592612753000,aea6:d650:7c32:7702:8ac6:9cee:52b9:5ba9,2020-06-20T00:25:53.000Z,Ontario
success,89328464337,Ontario;Canada,1605570321000,66c4:abe4:3bb0:6e14:add:f6f7:253a:c67b,2020-11-16T23:45:21.000Z,Ontario
