status,trackerId,server_region,timestamp,server,date_time,state
success,89328463522,Tokyo;Japan,1601014527000,9221:2ac2:6b88:c2f:9cdc:560a:8f19:9500,2020-09-25T06:15:27.000Z,Tokyo
success,89328463624,Tokyo;Japan,1593757683000,d65d:390a:cdd3:762b:da5f:f773:8012:1283,2020-07-03T06:28:03.000Z,Tokyo
failed,89328463630,Tokyo;Japan,1588180092000,89eb:ae21:b646:eb04:2988:db13:436f:f38a,2020-04-29T17:08:12.000Z,Tokyo
-,89328463653,Tokyo;Japan,1586634000000,55c:bca:497a:a6e9:e3d5:e454:e858:7ee,2020-04-11T19:40:00.000Z,Tokyo
success,89328463791,Tokyo;Japan,1606872353000,b941:597:3798:fb3a:99b4:f3ab:34a3:5852,2020-12-02T01:25:53.000Z,Tokyo
success,89328463888,Tokyo;Japan,1606420607000,1a08:2b2d:161b:75e2:36a:d85:830a:2075,2020-11-26T19:56:47.000Z,Tokyo
success,89328463921,Tokyo;Japan,1591710516000,95c3:e952:55ab:93ea:adee:f0d3:49a9:f099,2020-06-09T13:48:36.000Z,Tokyo
success,89328463938,Tokyo;Japan,1596574616000,9ed6:4a4b:f142:1941:e6f5:bedf:f239:1d1b,2020-08-04T20:56:56.000Z,Tokyo
success,89328463944,Tokyo;Japan,1589712065000,5ce5:30f5:bfc:d019:fd69:7211:4380:699a,2020-05-17T10:41:05.000Z,Tokyo
-,89328464013,Tokyo;Japan,1594855925000,463f:a63d:8a31:a404:bde:e4a9:96ec:4280,2020-07-15T23:32:05.000Z,Tokyo
failed,89328464287,Tokyo;Japan,1588253841000,4ca5:e07b:81b1:151:186:f547:e70e:7c8c,2020-04-30T13:37:21.000Z,Tokyo
success,89328464406,Tokyo;Japan,1599194907000,49f2:4c89:6eb5:134d:5cbb:a595:9dc1:78f0,2020-09-04T04:48:27.000Z,Tokyo
