status,trackerId,server_region,timestamp,server,date_time,state
success,89328463490,Florida;USA,1605932487000,8ac5:9010:f24c:2f06:4679:aaec:a737:f003,2020-11-21T04:21:27.000Z,Florida
success,89328463499,Texas;USA,1602613627000,4a73:ce86:e05b:48a6:2235:f676:d4ea:25d,2020-10-13T18:27:07.000Z,Texas
success,89328463509,California;USA,1596422963000,9563:6439:aa49:2239:6e1d:1c32:b1a0:39c9,2020-08-03T02:49:23.000Z,California
success,89328463521,New York;USA,1593816626000,8add:b5d9:9b21:2ca6:a54e:63b0:b9ec:9450,2020-07-03T22:50:26.000Z,New York
success,89328463534,Florida;USA,1607016086000,8079:2c06:5f42:79f:ed34:4cd0:6189:c1a9,2020-12-03T17:21:26.000Z,Florida
success,89328463576,Texas;USA,1596881680000,9e76:b33f:d856:256e:1d1:675c:8efd:4a8,2020-08-08T10:14:40.000Z,Texas
success,89328463590,New York;USA,1593470730000,ff1b:9545:2ab1:66a6:825a:df34:a5ee:8f47,2020-06-29T22:45:30.000Z,New York
success,89328463616,Florida;USA,1595088252000,2ba:b9ea:f31d:1d74:5f73:ecbd:3b1d:72d0,2020-07-18T16:04:12.000Z,Florida
success,89328463634,California;USA,1588520381000,f516:afb9:1966:4f55:6660:e9eb:261c:d81b,2020-05-03T15:39:41.000Z,California
success,89328463643,New York;USA,1591553964000,fdd8:bfbc:6dbf:3abe:93ec:7e8f:10c8:d226,2020-06-07T18:19:24.000Z,New York
success,89328463651,Texas;USA,1600795604000,c1c3:4bcf:591b:ad1:ca84:1851:e818:66ea,2020-09-22T17:26:44.000Z,Texas
success,89328463664,Texas;USA,1598151059000,e603:85ab:9755:c3d9:7000:cbb0:33c2:97c0,2020-08-23T02:50:59.000Z,Texas
success,89328463669,New York;USA,1603670449000,af21:f2cd:6516:894:3c44:bc03:f433:134,2020-10-26T00:00:49.000Z,New York
success,89328463670,Texas;USA,1586918179000,6ca2:a9e3:ad0e:ab37:b6b:e730:151d:fc5e,2020-04-15T02:36:19.000Z,Texas
success,89328463697,Florida;USA,1594920445000,a236:ed7b:d520:55d:18d2:5405:b44:9dcf,2020-07-16T17:27:25.000Z,Florida
success,89328463711,New York;USA,1588907635000,d49c:bde9:b94f:f1cc:fdc0:2892:f8bb:9c0c,2020-05-08T03:13:55.000Z,New York
success,89328463743,Florida;USA,1593231280000,38e0:5ba9:d87c:ed13:9307:f5ad:24f:37a4,2020-06-27T04:14:40.000Z,Florida
success,89328463767,Texas;USA,1597768673000,d1c2:a5b0:f9bd:186c:9555:52cc:a774:48d3,2020-08-18T16:37:53.000Z,Texas
success,89328463772,California;USA,1595548324000,549f:d14e:9559:5968:7929:548e:4e59:a79b,2020-07-23T23:52:04.000Z,California
success,89328463777,New York;USA,1588303449000,ae5d:da9b:a345:781e:386a:5bc:d895:7e76,2020-05-01T03:24:09.000Z,New York
success,89328463782,Texas;USA,1602644972000,10cf:a8fb:fe33:c17:f781:9f21:7bdb:8348,2020-10-14T03:09:32.000Z,Texas
success,89328463788,Texas;USA,1588563313000,6098:da0f:35b9:3004:4292:bc8:c66c:5254,2020-05-04T03:35:13.000Z,Texas
success,89328463792,Florida;USA,1600967132000,f58e:d721:ca9f:7e37:8f85:16:d3b7:ea12,2020-09-24T17:05:32.000Z,Florida
