status,trackerId,server_region,timestamp,server,date_time,state
success,89328463506,Florida;USA,1607712620000,7a36:eec8:e57e:a6:90a0:827f:3e16:1544,2020-12-11T18:50:20.000Z,Florida
success,89328463515,Florida;USA,1603642899000,e2b:4e14:ce97:d5ac:ec6d:6fff:ea1e:b936,2020-10-25T16:21:39.000Z,Florida
failed,89328463529,Florida;USA,1586786188000,bb6c:43f0:d2a:2140:c4c4:9eb2:535b:479c,2020-04-13T13:56:28.000Z,Florida
success,89328463553,Texas;USA,1589871001000,501a:40b3:98ab:1191:6e80:47cd:83ef:5378,2020-05-19T06:50:01.000Z,Texas
success,89328463559,New York;USA,1596277806000,80b6:ed63:9bd0:9624:7b2c:3be6:7ce0:bbab,2020-08-01T10:30:06.000Z,New York
success,89328463561,Texas;USA,1593631329000,f0a:c860:31fe:aa94:bdcf:4fb9:3e84:ba13,2020-07-01T19:22:09.000Z,Texas
failed,89328463580,California;USA,1589546671000,a9c3:2127:99d7:3382:fd54:2b0d:1238:afad,2020-05-15T12:44:31.000Z,California
-,89328463612,Florida;USA,1602825369000,41cf:d957:e026:37d1:78e1:daaf:e5ca:b1a6,2020-10-16T05:16:09.000Z,Florida
success,89328463625,California;USA,1591739671000,7c0f:2f4e:db70:84a1:456:2d6a:3b9f:427c,2020-06-09T21:54:31.000Z,California
success,89328463655,New York;USA,1605486741000,7fa9:21fa:1956:4b50:4e24:d7a5:22b5:1b81,2020-11-16T00:32:21.000Z,New York
success,89328463657,Texas;USA,1607326291000,b86d:a1f4:27bf:504:5025:1792:568b:555b,2020-12-07T07:31:31.000Z,Texas
success,89328463663,New York;USA,1596870536000,1d09:3582:cddd:4943:cf42:2628:4106:c7d3,2020-08-08T07:08:56.000Z,New York
success,89328463694,California;USA,1599431356000,1fc7:3833:696d:17b8:e7dd:f1dc:d65f:f685,2020-09-06T22:29:16.000Z,California
success,89328463703,Florida;USA,1591681949000,4b86:15a7:7c32:eb9c:ab2a:d328:7eed:d7c6,2020-06-09T05:52:29.000Z,Florida
success,89328463722,New York;USA,1598250238000,cd62:bf3e:8218:acd4:75aa:69c6:2ebf:15ec,2020-08-24T06:23:58.000Z,New York
success,89328463724,Texas;USA,1604684137000,4847:6eb5:21d3:d1ff:9fb2:8481:80d2:9dbc,2020-11-06T17:35:37.000Z,Texas
success,89328463801,Florida;USA,1586173858000,96b5:ee62:bff0:8300:91a2:e35d:b998:3562,2020-04-06T11:50:58.000Z,Florida
success,89328463802,New York;USA,1602149137000,d6e:44cf:ee04:efa9:fbf1:25a8:fce7:ba46,2020-10-08T09:25:37.000Z,New York
success,89328463818,California;USA,1604173471000,61d3:fdd2:a442:29f7:fd12:1810:f3cd:28c3,2020-10-31T19:44:31.000Z,California
success,89328463833,Florida;USA,1593859352000,ab78:a3b7:d367:244b:3b13:b440:955d:ce67,2020-07-04T10:42:32.000Z,Florida
success,89328463846,Florida;USA,1586563747000,1287:3314:36c7:de13:c744:d13d:2223:ac5f,2020-04-11T00:09:07.000Z,Florida
failed,89328463866,New York;USA,1593180975000,a44f:c567:f4d8:3b77:416a:3670:a012:b273,2020-06-26T14:16:15.000Z,New York
success,89328463890,New York;USA,1605483708000,54a5:e1c2:266a:bea6:9c94:5255:2431:7dff,2020-11-15T23:41:48.000Z,New York
success,89328463916,Texas;USA,1603524258000,dbc7:44b:307b:4642:650e:e5b:7056:391f,2020-10-24T07:24:18.000Z,Texas
success,89328463929,California;USA,1605584999000,7823:aef3:3005:7ec0:131c:e948:19bc:3068,2020-11-17T03:49:59.000Z,California
failed,89328463948,New York;USA,1590633790000,137a:1249:c58f:d3db:8b95:4f50:caaa:c0fc,2020-05-28T02:43:10.000Z,New York
success,89328463949,Texas;USA,1601392505000,806f:1a46:711b:9caf:3ffc:43a0:bfb2:dda9,2020-09-29T15:15:05.000Z,Texas
failed,89328463958,Florida;USA,1603958251000,7f01:76be:8028:db50:acba:42b0:e0be:7e69,2020-10-29T07:57:31.000Z,Florida
success,89328463982,New York;USA,1590408949000,5054:5c8:2d41:5319:7bb6:b262:dfab:5ee,2020-05-25T12:15:49.000Z,New York
success,89328463995,Florida;USA,1600029152000,ae4:baa1:8275:be81:95b6:b33f:f67a:426a,2020-09-13T20:32:32.000Z,Florida
-,89328464012,Florida;USA,1604761292000,a0c5:dad3:d436:b9b6:6e48:ddef:ccbc:9979,2020-11-07T15:01:32.000Z,Florida
-,89328464038,Texas;USA,1592605290000,8163:5e29:aeae:b5d3:50e:20e4:5063:b56e,2020-06-19T22:21:30.000Z,Texas
success,89328464092,California;USA,1600042835000,3964:2d17:6882:ff9d:b5d7:736e:cfc8:e40c,2020-09-14T00:20:35.000Z,California
failed,89328464094,California;USA,1603120947000,b71:ef09:22b4:3486:120a:bb18:49d0:377a,2020-10-19T15:22:27.000Z,California
success,89328464125,New York;USA,1605091672000,83ee:d163:18f9:a1ad:6ce8:f16c:ed90:3f36,2020-11-11T10:47:52.000Z,New York
success,89328464208,New York;USA,1592972972000,4ab2:5835:976e:fbba:e5e7:566d:a4b3:a195,2020-06-24T04:29:32.000Z,New York
success,89328464228,New York;USA,1601192986000,8317:4bfe:f6ab:13eb:1232:6688:b160:e427,2020-09-27T07:49:46.000Z,New York
success,89328464266,Florida;USA,1587312028000,dc32:9f14:f08d:64e7:3aff:46c5:56fb:c0fd,2020-04-19T16:00:28.000Z,Florida
success,89328464274,Florida;USA,1606935616000,a809:f47c:5f6f:f1d7:1dba:93bd:250e:2818,2020-12-02T19:00:16.000Z,Florida
success,89328464281,California;USA,1599582426000,58d4:4d37:c53:6ce3:6ae8:7f23:c6e1:412f,2020-09-08T16:27:06.000Z,California
success,89328464305,Florida;USA,1590608550000,538b:a8:7ebe:e161:e1c9:321d:fcf:66e,2020-05-27T19:42:30.000Z,Florida
success,89328464308,California;USA,1591786698000,de13:6621:8054:a970:ce33:bb6:ffc6:725b,2020-06-10T10:58:18.000Z,California
success,89328464342,California;USA,1596229744000,fa50:74d2:cffa:f05a:1278:e257:e79c:d7e5,2020-07-31T21:09:04.000Z,California
success,89328464353,California;USA,1586187717000,8d4b:388e:616b:138e:259d:c6e5:91df:f170,2020-04-06T15:41:57.000Z,California
success,89328464431,California;USA,1596965573000,f3e7:9981:aaa2:dabc:2d32:e0bd:3292:8af6,2020-08-09T09:32:53.000Z,California
-,89328464447,Texas;USA,1605748279000,8a07:4614:ba3f:75ca:816f:66c9:da0d:8a8d,2020-11-19T01:11:19.000Z,Texas
success,89328464463,Florida;USA,1593038947000,cc88:8b32:e834:7145:6b6a:c48:7011:9df1,2020-06-24T22:49:07.000Z,Florida
failed,89328464483,California;USA,1597399201000,18de:15cb:f964:bc62:491:9d79:da3f:a6fd,2020-08-14T10:00:01.000Z,California
success,89328464484,Texas;USA,1607161055000,cc7c:3591:1c62:280c:b259:dc89:e69d:2d75,2020-12-05T09:37:35.000Z,Texas
