status,trackerId,server_region,timestamp,server,date_time,state
success,89328463498,Florida;USA,1590200468000,8755:3c70:4da:ad2a:a23d:8e9b:1a3b:e9bf,2020-05-23T02:21:08.000Z,Florida
failed,89328463540,Texas;USA,1591284566000,4f10:ac2e:eff1:292a:982b:8ed7:d82c:d605,2020-06-04T15:29:26.000Z,Texas
success,89328463549,California;USA,1588896297000,22ac:f16e:b05a:b256:be1f:1393:ec28:8e5f,2020-05-08T00:04:57.000Z,California
success,89328463570,Texas;USA,1591927109000,7c4:f832:7b51:9cc0:5b13:e0af:f498:aec1,2020-06-12T01:58:29.000Z,Texas
success,89328463585,Texas;USA,1604139578000,5b32:5d2b:6f28:9d86:895f:3fc2:ae67:278c,2020-10-31T10:19:38.000Z,Texas
success,89328463644,Texas;USA,1596132692000,a0c7:bd76:37b6:a7d3:25dc:1c6d:379d:b0f2,2020-07-30T18:11:32.000Z,Texas
success,89328463690,Texas;USA,1605215682000,7c57:72e0:43c7:2ad1:398f:3b90:8f33:9d6c,2020-11-12T21:14:42.000Z,Texas
success,89328463715,Florida;USA,1588307189000,b004:2535:f899:c6ea:1f8c:7c06:9061:869f,2020-05-01T04:26:29.000Z,Florida
success,89328463717,Florida;USA,1602597019000,14c1:a6ab:a2f:d095:4bb5:cb2e:8da9:a389,2020-10-13T13:50:19.000Z,Florida
success,89328463770,Florida;USA,1588879018000,d772:7651:cc7e:960d:fdbb:c875:207c:5f9e,2020-05-07T19:16:58.000Z,Florida
success,89328463784,New York;USA,1602183586000,49ab:f839:9af5:3648:2335:827e:610e:6f7a,2020-10-08T18:59:46.000Z,New York
failed,89328463804,New York;USA,1592100922000,ee5b:95ff:2693:52b3:158c:3cea:eab:b80b,2020-06-14T02:15:22.000Z,New York
failed,89328463807,Texas;USA,1592202476000,9a44:7d63:c7b4:2ffb:77bb:b4e3:7905:1115,2020-06-15T06:27:56.000Z,Texas
success,89328463822,Florida;USA,1597251534000,8d64:fe6:c99e:30d0:532d:788a:d7d5:5a4d,2020-08-12T16:58:54.000Z,Florida
-,89328463830,Texas;USA,1599199009000,1506:def5:7f1:5b4d:92b5:3ecf:751f:dd27,2020-09-04T05:56:49.000Z,Texas
success,89328463862,California;USA,1595607424000,79fd:6a3:ddd4:e607:d407:4fac:8c11:b68f,2020-07-24T16:17:04.000Z,California
-,89328463868,Florida;USA,1587192893000,e59b:e7fa:d03d:a2db:2aea:db86:baf6:fbe2,2020-04-18T06:54:53.000Z,Florida
success,89328463871,Florida;USA,1586524912000,35aa:216e:3b:6d01:e86b:629c:cb8f:263a,2020-04-10T13:21:52.000Z,Florida
success,89328463884,Texas;USA,1589449779000,a689:dabc:f72b:72a8:88d1:a76c:2a50:9536,2020-05-14T09:49:39.000Z,Texas
success,89328463909,California;USA,1586611693000,cce3:4e87:8fc5:840c:1c06:fb34:17a3:8de1,2020-04-11T13:28:13.000Z,California
-,89328463946,Florida;USA,1589137644000,db6:adba:f29f:dc03:b5a9:7bd3:88b9:2e39,2020-05-10T19:07:24.000Z,Florida
-,89328463991,Florida;USA,1603924934000,4e91:12eb:d90a:4513:71fc:69fb:e256:e72c,2020-10-28T22:42:14.000Z,Florida
success,89328464003,Texas;USA,1595983965000,9918:f3ff:bc4b:9370:37a6:ff8f:fabb:9bd4,2020-07-29T00:52:45.000Z,Texas
success,89328464005,New York;USA,1607095421000,e281:721:b725:8a00:c441:fdd6:efcf:c4b5,2020-12-04T15:23:41.000Z,New York
success,89328464024,Florida;USA,1603084678000,b68b:1c4b:986f:ec56:8579:6233:f5ee:195f,2020-10-19T05:17:58.000Z,Florida
success,89328464040,Florida;USA,1604908674000,a91e:ec00:9c4e:ba2:9b8f:b7ac:7cb8:d8ee,2020-11-09T07:57:54.000Z,Florida
success,89328464041,Texas;USA,1589857398000,4c5d:4fab:dca2:b63f:488:c316:30bf:d270,2020-05-19T03:03:18.000Z,Texas
success,89328464045,Florida;USA,1602672062000,ce76:ba77:d124:2ec1:e712:f9a9:2eda:3819,2020-10-14T10:41:02.000Z,Florida
-,89328464070,Texas;USA,1605268636000,499e:76a8:b1f8:4409:ad16:f5fa:b602:84d5,2020-11-13T11:57:16.000Z,Texas
failed,89328464085,Florida;USA,1595586881000,5b87:2470:d4c9:1ad7:7c2e:585a:19a6:bff5,2020-07-24T10:34:41.000Z,Florida
success,89328464121,Florida;USA,1595166904000,8fce:4100:3352:2c21:a959:e01a:4b59:d64e,2020-07-19T13:55:04.000Z,Florida
success,89328464128,New York;USA,1598799991000,5a13:fec0:e08d:f375:f45f:13c7:4639:1a78,2020-08-30T15:06:31.000Z,New York
success,89328464133,California;USA,1604978576000,5300:c9a4:28cf:d65:3ad2:ff8d:f43:3cc,2020-11-10T03:22:56.000Z,California
success,89328464151,Florida;USA,1589067222000,abe9:e9c4:2a16:bd28:58fb:f9b3:b311:55cc,2020-05-09T23:33:42.000Z,Florida
success,89328464191,New York;USA,1596552531000,51e1:a973:402a:fbcd:1591:5cee:ce4d:5473,2020-08-04T14:48:51.000Z,New York
success,89328464199,New York;USA,1589824932000,ef01:7a6e:8124:8827:6608:7201:857d:929c,2020-05-18T18:02:12.000Z,New York
success,89328464210,Texas;USA,1598403529000,d241:a37f:ef1c:77b4:c2b:7fec:414e:8a0c,2020-08-26T00:58:49.000Z,Texas
-,89328464216,Florida;USA,1604451148000,bfb8:64cb:79c9:8e78:287b:3536:a516:f79c,2020-11-04T00:52:28.000Z,Florida
success,89328464220,California;USA,1606202523000,151a:5eb0:5760:8be0:e247:1a92:cda4:5b43,2020-11-24T07:22:03.000Z,California
failed,89328464221,California;USA,1604052330000,afe8:3498:23ed:b00f:6eb2:8a9e:a9c7:c4e,2020-10-30T10:05:30.000Z,California
-,89328464231,California;USA,1606537058000,1e0b:8c80:3df2:5c32:af22:dcec:db21:c2ff,2020-11-28T04:17:38.000Z,California
success,89328464240,California;USA,1602148779000,13d5:7d5f:3864:8b14:de1d:d0c6:8a02:c190,2020-10-08T09:19:39.000Z,California
success,89328464245,Florida;USA,1586935691000,e80f:7ade:44e1:3453:aab9:5886:8aac:adf7,2020-04-15T07:28:11.000Z,Florida
success,89328464265,New York;USA,1598537021000,6e78:a41a:73a6:567d:6999:ae8e:66e7:44b5,2020-08-27T14:03:41.000Z,New York
success,89328464301,Florida;USA,1601423147000,1543:178:da22:c5af:48ab:d19d:b978:938c,2020-09-29T23:45:47.000Z,Florida
success,89328464314,California;USA,1590032447000,f115:d7d8:f519:a63:9706:af9d:9b6a:d104,2020-05-21T03:40:47.000Z,California
success,89328464328,Florida;USA,1603902721000,1122:aa8:694c:86d8:5d1f:e333:9044:519c,2020-10-28T16:32:01.000Z,Florida
success,89328464356,Florida;USA,1606408383000,767b:3325:9755:b4da:ef10:d2bb:a08e:6cf5,2020-11-26T16:33:03.000Z,Florida
success,89328464379,Texas;USA,1602060896000,5dc2:c892:1e64:9863:237c:3a2b:5c5a:4cb7,2020-10-07T08:54:56.000Z,Texas
failed,89328464402,Florida;USA,1586437960000,e4ed:7129:744:e77:6889:1f12:c49a:4884,2020-04-09T13:12:40.000Z,Florida
failed,89328464425,New York;USA,1594360422000,fd47:133b:59c7:f913:305d:afed:5519:f5e2,2020-07-10T05:53:42.000Z,New York
success,89328464479,California;USA,1598142729000,2453:2f56:e271:3ef0:d3b9:e0f:4d68:f2b8,2020-08-23T00:32:09.000Z,California
